Business_ID,Cuisine_Type,Name,Address,Coordinates,Number_of_Reviews,Rating,Zipcode
rL5F8YnQq9SY0hyece4W2w,Korean,mr-bing-new-york-3,"230 Park Ave, New York, NY 10021","(40.7543376550143, -73.976532557234)",179,3.5,10021
C29qVHuUDyFoQQPaFOpGfQ,Korean,the-tea-bar-fort-lee,"1636 Palisade Ave, Ste 4, Fort Lee, NJ 07024","(40.84995, -73.96832)",215,4,7024
wUu9WcGjP8KS6KlpARChyQ,Korean,gyu-kaku-japanese-bbq-flushing,"4052 Main St, Flushing, NY 11354","(40.758159, -73.829822)",416,4.5,11354
8fr5FYU1ip0phERt1mrekg,Korean,bohemian-restaurant-new-york,"57 Great Jones St, New York, NY 10012","(40.72639, -73.99236)",712,4.5,10012
VaL9GaBR_GR-q9d1VzJF3g,Korean,suteishi-new-york,"24 Peck Slip, New York, NY 10038","(40.70788, -74.00194)",450,4,10038
-KsRhLrfrBKy1eXJe60ggA,Korean,hanbat-palisades-park,"452 Broad Ave, Palisades Park, NJ 07650","(40.8516006, -73.9949112)",87,3,7650
JiFp_mv7OgRonaWb-1n96A,Korean,52nd-sushi-woodside,"5221 Roosevelt Ave, Woodside, NY 11377","(40.7445907592773, -73.9116134643555)",107,4,11377
0Zjp3JcxwNijCBWEKd7Nyg,Korean,azusa-of-japan-new-york,"3 E 44th St, New York, NY 10017","(40.7546, -73.97926)",100,3,10017
AAPJkyU0Y7Aci0RZBdJONg,Korean,shokunin-bbq-brooklyn-2,"952 60th St, Brooklyn, NY 11219","(40.6332876204455, -74.0062164404754)",64,2.5,11219
PyEDxwzV_r8sYT71jVw9vA,Korean,mama-best-food-fort-lee,"1420 Bergen Blvd, Fort Lee, NJ 07024","(40.8497769683378, -73.9846619090643)",37,4.5,7024
MQway2v2b2Qyjr8ThZdakQ,Korean,ninja-sushi-nutley,"75 Washington Ave, Nutley, NJ 07110","(40.8089392144319, -74.1470579258698)",198,4.5,7110
Jwa9ibcOtv42oNpqdE7z8A,Korean,ani-ramen-house-jc-jersey-city,"218 Newark Ave, Jersey City, NJ 07302","(40.72234, -74.04699)",440,4,7302
itblJyiTY2h2ACidLk66oA,Korean,takahachi-new-york,"85 Ave A, New York, NY 10009","(40.725315, -73.984436)",529,4,10009
2f0EWTvp3YDtGNKEEXKKhA,Korean,naruto-ramen-new-york,"1596 3rd Ave, New York, NY 10128","(40.78117, -73.9525)",865,3.5,10128
AILf_L7I9vJ2pyHmSo9v8Q,Korean,obao-new-york-4,"222 E 53rd St, New York, NY 10022","(40.757122, -73.968566)",772,3.5,10022
DJTvIuXvjoYsypytSD5qJw,Korean,gyeonghoeru-korean-fort-lee,"1355 16th St, Fort Lee, NJ 07024","(40.8449793520601, -73.9802233502269)",52,4,7024
vvQHpQoK8bADWD8rxktKqA,Korean,ramen-takumi-new-york-2,"517 3rd Ave, New York, NY 10016","(40.74606, -73.97756)",206,3,10016
-CIEVfc1Xsa8gqdN8UGWAQ,Korean,jikji-café-jamaica-2,"Jfk International Airport, Jamaica, NY 11430","(40.6507301330566, -73.7855987548828)",16,2.5,11430
C3tRg5yNCjN1krl2iv2oNg,Korean,ramen-mafia-brooklyn,"208 Franklin St, Brooklyn, NY 11222","(40.73262, -73.9579)",41,4.5,11222
gZqwq8kE-Z3-DdZGOEjOkQ,Korean,village-yokocho-new-york,"8 Stuyvesant St, New York, NY 10003","(40.7298, -73.9891899)",733,3.5,10003
